epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
0,31.94838237921907,"tensor(21.5661, device='cuda:0')","tensor(0., device='cuda:0')","tensor(2.9316, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.7801, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1165, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4248, device='cuda:0')","tensor(4.0106, device='cuda:0')","tensor(0.0882, device='cuda:0')"
1,22.933034689399094,"tensor(18.8574, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.8268, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.3977, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1179, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7460, device='cuda:0')","tensor(3.6054, device='cuda:0')","tensor(0.0842, device='cuda:0')"
2,20.689689943436974,"tensor(19.1855, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.7140, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.9719, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1164, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9042, device='cuda:0')","tensor(3.6402, device='cuda:0')","tensor(0.0802, device='cuda:0')"
3,19.09841719713499,"tensor(19.0204, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.6945, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.6583, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1123, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7823, device='cuda:0')","tensor(3.6320, device='cuda:0')","tensor(0.0784, device='cuda:0')"
4,17.83338268666243,"tensor(18.3116, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.5590, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.4328, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1101, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7861, device='cuda:0')","tensor(3.4901, device='cuda:0')","tensor(0.0750, device='cuda:0')"
5,16.841878770596722,"tensor(17.0274, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.4420, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.2589, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1056, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6974, device='cuda:0')","tensor(3.2518, device='cuda:0')","tensor(0.0710, device='cuda:0')"
6,15.117110981589667,"tensor(18.1615, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.3801, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.9271, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1017, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6720, device='cuda:0')","tensor(3.4844, device='cuda:0')","tensor(0.0674, device='cuda:0')"
7,14.80029244016538,"tensor(16.2030, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.3268, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.8746, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1006, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6236, device='cuda:0')","tensor(3.1020, device='cuda:0')","tensor(0.0691, device='cuda:0')"
8,13.766174274462324,"tensor(16.9276, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.3418, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.6659, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0950, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9467, device='cuda:0')","tensor(3.1831, device='cuda:0')","tensor(0.0653, device='cuda:0')"
9,13.119104193123757,"tensor(17.0489, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.3414, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.5368, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0938, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6072, device='cuda:0')","tensor(3.2754, device='cuda:0')","tensor(0.0649, device='cuda:0')"
10,13.477582471038325,"tensor(17.1582, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.2688, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.6241, device='cuda:0', dtype=torch.float64, grad_fn=<DivBackward0>)","tensor(0.0884, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8527, device='cuda:0')","tensor(3.2476, device='cuda:0')","tensor(0.0677, device='cuda:0')"
11,12.715472577026974,"tensor(16.9679, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.2029, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4849, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0879, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8360, device='cuda:0')","tensor(3.2143, device='cuda:0')","tensor(0.0603, device='cuda:0')"
12,12.391007317437065,"tensor(17.5762, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1936, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4222, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0862, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6946, device='cuda:0')","tensor(3.3640, device='cuda:0')","tensor(0.0619, device='cuda:0')"
13,12.532780222645327,"tensor(18.0579, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.2014, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4491, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0858, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0928, device='cuda:0')","tensor(3.3811, device='cuda:0')","tensor(0.0595, device='cuda:0')"
14,11.55853215086405,"tensor(17.6500, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1508, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.2647, device='cuda:0', dtype=torch.float64, grad_fn=<DivBackward0>)","tensor(0.0843, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7706, device='cuda:0')","tensor(3.3643, device='cuda:0')","tensor(0.0577, device='cuda:0')"
15,11.10943583869312,"tensor(18.1226, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1830, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1698, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0776, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7254, device='cuda:0')","tensor(3.4684, device='cuda:0')","tensor(0.0552, device='cuda:0')"
16,11.156534443537234,"tensor(16.4895, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.3143, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1530, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0774, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8408, device='cuda:0')","tensor(3.1181, device='cuda:0')","tensor(0.0584, device='cuda:0')"
17,10.897086937234084,"tensor(16.3569, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.2268, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1187, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0766, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9480, device='cuda:0')","tensor(3.0698, device='cuda:0')","tensor(0.0597, device='cuda:0')"
