epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
0,0.24443701770570542,"tensor(0.2073, device='cuda:0')","tensor(0., device='cuda:0')","tensor(4.3754, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.9220, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1259, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.7070, device='cuda:0')","tensor(5.0324, device='cuda:0')","tensor(0.1011, device='cuda:0')"
1,0.14855593343575796,"tensor(0.1391, device='cuda:0')","tensor(0.2612, device='cuda:0')","tensor(2.1849, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.6173, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1053, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4815, device='cuda:0')","tensor(4.1780, device='cuda:0')","tensor(0.0867, device='cuda:0')"
2,0.12936582863330842,"tensor(0.1493, device='cuda:0')","tensor(0.2476, device='cuda:0')","tensor(1.5800, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.2797, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0964, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8002, device='cuda:0')","tensor(4.3172, device='cuda:0')","tensor(0.0786, device='cuda:0')"
3,0.1293542034096188,"tensor(0.1319, device='cuda:0')","tensor(0.2576, device='cuda:0')","tensor(1.3203, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.3150, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0850, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6777, device='cuda:0')","tensor(4.2365, device='cuda:0')","tensor(0.0706, device='cuda:0')"
4,0.1054734769794676,"tensor(0.1795, device='cuda:0')","tensor(0.3458, device='cuda:0')","tensor(1.1530, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.8796, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0871, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8613, device='cuda:0')","tensor(4.9471, device='cuda:0')","tensor(0.0564, device='cuda:0')"
5,0.10525824245479372,"tensor(0.1250, device='cuda:0')","tensor(0.3211, device='cuda:0')","tensor(1.2471, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.8402, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0853, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0881, device='cuda:0')","tensor(4.2208, device='cuda:0')","tensor(0.0668, device='cuda:0')"
6,0.10212205747763316,"tensor(0.1159, device='cuda:0')","tensor(0.2541, device='cuda:0')","tensor(1.0938, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.7917, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0869, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9215, device='cuda:0')","tensor(3.9540, device='cuda:0')","tensor(0.0685, device='cuda:0')"
7,0.09466577288177279,"tensor(0.1156, device='cuda:0')","tensor(0.2520, device='cuda:0')","tensor(1.0398, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.6035, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0822, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3652, device='cuda:0')","tensor(3.9032, device='cuda:0')","tensor(0.0611, device='cuda:0')"
8,0.10072429511282179,"tensor(0.1108, device='cuda:0')","tensor(0.3980, device='cuda:0')","tensor(0.9972, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.6838, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0760, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7806, device='cuda:0')","tensor(3.7396, device='cuda:0')","tensor(0.0638, device='cuda:0')"
9,0.09488676389058431,"tensor(0.1443, device='cuda:0')","tensor(0.2733, device='cuda:0')","tensor(1.0028, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.5076, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0785, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8228, device='cuda:0')","tensor(3.9859, device='cuda:0')","tensor(0.0660, device='cuda:0')"
