epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
0,0.09360773390268579,"tensor(0.1126, device='cuda:0')","tensor(0.1288, device='cuda:0')",0.9403381943702698,1.8476670980453491,0.05485503003001213,0.36823582649230957,2.059739589691162,0.03521660715341568
1,0.062030597069465065,"tensor(0.0939, device='cuda:0')","tensor(0.2164, device='cuda:0')",0.3622593581676483,1.4651618003845215,0.04315505176782608,0.41907379031181335,1.8176345825195312,0.03301289305090904
2,0.05248244616257794,"tensor(0.0945, device='cuda:0')","tensor(0.2615, device='cuda:0')",0.22053875029087067,1.3089419603347778,0.03922677040100098,0.332871675491333,1.8409020900726318,0.032831598073244095
3,0.0451765169718248,"tensor(0.0899, device='cuda:0')","tensor(0.3070, device='cuda:0')",0.19167755544185638,1.1900489330291748,0.03733750805258751,0.2601582407951355,1.8078408241271973,0.02923683263361454
4,0.04084072556511006,"tensor(0.0898, device='cuda:0')","tensor(0.2759, device='cuda:0')",0.09991590678691864,1.1020537614822388,0.03441332280635834,0.3557044565677643,1.783766746520996,0.029103698208928108
5,0.04243917172939023,"tensor(0.0904, device='cuda:0')","tensor(0.3199, device='cuda:0')",0.1289229840040207,1.1191340684890747,0.03757039085030556,0.30266478657722473,1.8257942199707031,0.030905120074748993
6,0.04027159077882329,"tensor(0.0887, device='cuda:0')","tensor(0.2860, device='cuda:0')",0.06967124342918396,1.0272581577301025,0.03447362035512924,0.2955561876296997,1.8295809030532837,0.029698306694626808
7,0.038952760590130794,"tensor(0.0908, device='cuda:0')","tensor(0.3248, device='cuda:0')",0.14705175161361694,1.0594871044158936,0.03660151734948158,0.3880431056022644,1.7980679273605347,0.02861000970005989
8,0.03330519968756776,"tensor(0.0903, device='cuda:0')","tensor(0.3370, device='cuda:0')",0.07475471496582031,0.9491691589355469,0.03270573541522026,0.33633458614349365,1.7591131925582886,0.02811041846871376
9,0.03054183570887236,"tensor(0.0895, device='cuda:0')","tensor(0.3463, device='cuda:0')",0.10454456508159637,0.8715298771858215,0.030583199113607407,0.40803754329681396,1.7796926498413086,0.025700170546770096
10,0.03924145526252687,"tensor(0.0833, device='cuda:0')","tensor(0.3745, device='cuda:0')",0.1515297144651413,1.070271611213684,0.033178653568029404,0.3286517858505249,1.7559655904769897,0.028797153383493423
11,0.037468736347578024,"tensor(0.0820, device='cuda:0')","tensor(0.3831, device='cuda:0')",0.12127294391393661,1.0318466424942017,0.03025294840335846,0.27677738666534424,1.683570384979248,0.025698373094201088
12,0.034143525620867664,"tensor(0.0883, device='cuda:0')","tensor(0.3578, device='cuda:0')",0.08503358066082001,0.959689199924469,0.029458070173859596,0.3923691511154175,1.7889339923858643,0.027870310470461845
13,0.029991370040079346,"tensor(0.0814, device='cuda:0')","tensor(0.3490, device='cuda:0')",0.04151126369833946,0.8804364800453186,0.027546124532818794,0.2880679965019226,1.7060197591781616,0.02799021638929844
14,0.02825173987623523,"tensor(0.0835, device='cuda:0')","tensor(0.4279, device='cuda:0')",0.042514074593782425,0.8314449191093445,0.026194768026471138,0.21501551568508148,1.7062028646469116,0.025855351239442825
15,0.0255937201783287,"tensor(0.0825, device='cuda:0')","tensor(0.4559, device='cuda:0')",0.03222162649035454,0.773134708404541,0.02459467388689518,0.19453033804893494,1.6911128759384155,0.024425335228443146
16,0.024280304482732284,"tensor(0.0820, device='cuda:0')","tensor(0.3934, device='cuda:0')",0.01600680686533451,0.7359705567359924,0.023313244804739952,0.248215451836586,1.6788303852081299,0.0256420336663723
17,0.02432470241397181,"tensor(0.0853, device='cuda:0')","tensor(0.4398, device='cuda:0')",0.031856197863817215,0.7286535501480103,0.02349204011261463,0.25549808144569397,1.7100812196731567,0.02463974803686142
18,0.02323394874110818,"tensor(0.0843, device='cuda:0')","tensor(0.4568, device='cuda:0')",0.039215296506881714,0.7035642266273499,0.02295641228556633,0.2319304645061493,1.7040966749191284,0.024539487436413765
