epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
0,30.105924687986043,"tensor(20.4270, device='cuda:0')","tensor(0., device='cuda:0')","tensor(3.2094, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.3575, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1092, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9407, device='cuda:0')","tensor(3.8830, device='cuda:0')","tensor(0.0714, device='cuda:0')"
1,21.91480106777615,"tensor(20.2789, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.9765, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.1665, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1060, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9317, device='cuda:0')","tensor(3.8557, device='cuda:0')","tensor(0.0686, device='cuda:0')"
2,20.02235345313671,"tensor(17.3003, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.7646, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.8322, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0966, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6244, device='cuda:0')","tensor(3.3212, device='cuda:0')","tensor(0.0699, device='cuda:0')"
3,17.680061953615795,"tensor(16.3310, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.6548, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.3859, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0956, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7050, device='cuda:0')","tensor(3.1118, device='cuda:0')","tensor(0.0670, device='cuda:0')"
4,16.10620382777965,"tensor(16.7000, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.5200, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.0991, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0909, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0056, device='cuda:0')","tensor(3.1260, device='cuda:0')","tensor(0.0643, device='cuda:0')"
5,15.280970380314795,"tensor(18.4716, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.4877, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.9413, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0866, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8945, device='cuda:0')","tensor(3.5023, device='cuda:0')","tensor(0.0654, device='cuda:0')"
6,14.97587041606242,"tensor(15.8680, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.4888, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.8799, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0874, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9222, device='cuda:0')","tensor(2.9768, device='cuda:0')","tensor(0.0617, device='cuda:0')"
7,14.041335114191396,"tensor(17.2959, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.3028, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.7314, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0815, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1063, device='cuda:0')","tensor(3.2263, device='cuda:0')","tensor(0.0580, device='cuda:0')"
8,13.56277550593426,"tensor(16.0096, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.2740, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.6423, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0773, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8984, device='cuda:0')","tensor(3.0101, device='cuda:0')","tensor(0.0609, device='cuda:0')"
9,12.985409524705675,"tensor(17.5307, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.3339, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.5147, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0780, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8095, device='cuda:0')","tensor(3.3329, device='cuda:0')","tensor(0.0566, device='cuda:0')"
10,12.217161381354504,"tensor(16.2745, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.2666, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.3755, device='cuda:0', dtype=torch.float64, grad_fn=<DivBackward0>)","tensor(0.0732, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.6816, device='cuda:0')","tensor(2.9064, device='cuda:0')","tensor(0.0607, device='cuda:0')"
11,11.700730601215522,"tensor(15.2418, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1853, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.2883, device='cuda:0', dtype=torch.float64, grad_fn=<DivBackward0>)","tensor(0.0738, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8128, device='cuda:0')","tensor(2.8745, device='cuda:0')","tensor(0.0567, device='cuda:0')"
12,11.838760135438076,"tensor(16.7916, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1769, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.3179, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0724, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9666, device='cuda:0')","tensor(2.9534, device='cuda:0')","tensor(0.0583, device='cuda:0')"
