epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
0,0.26889385776369146,"tensor(0.1231, device='cuda:0')","tensor(0., device='cuda:0')","tensor(9.2191, device='cuda:0', grad_fn=<DivBackward0>)","tensor(11.8931, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.2249, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.1296, device='cuda:0')","tensor(6.1928, device='cuda:0')","tensor(0.1389, device='cuda:0')"
1,0.13862772572510243,"tensor(0.1135, device='cuda:0')","tensor(0., device='cuda:0')","tensor(2.7211, device='cuda:0', grad_fn=<DivBackward0>)","tensor(8.8401, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.2078, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.2234, device='cuda:0')","tensor(6.0044, device='cuda:0')","tensor(0.1226, device='cuda:0')"
2,0.10397097095467597,"tensor(0.1040, device='cuda:0')","tensor(0.0028, device='cuda:0')","tensor(1.5109, device='cuda:0', grad_fn=<DivBackward0>)","tensor(7.3475, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.2026, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0328, device='cuda:0')","tensor(5.6539, device='cuda:0')","tensor(0.1113, device='cuda:0')"
3,0.0856621364925135,"tensor(0.0945, device='cuda:0')","tensor(0., device='cuda:0')","tensor(1.1595, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.4556, device='cuda:0', dtype=torch.float64, grad_fn=<DivBackward0>)","tensor(0.1890, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9489, device='cuda:0')","tensor(5.4076, device='cuda:0')","tensor(0.1091, device='cuda:0')"
4,0.07916318832325832,"tensor(0.1069, device='cuda:0')","tensor(0.0167, device='cuda:0')","tensor(1.1346, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.0307, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1882, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4002, device='cuda:0')","tensor(5.7257, device='cuda:0')","tensor(0.1082, device='cuda:0')"
5,0.0769219526222774,"tensor(0.1026, device='cuda:0')","tensor(0.0478, device='cuda:0')","tensor(1.2427, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.8889, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1795, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1074, device='cuda:0')","tensor(5.3890, device='cuda:0')","tensor(0.1074, device='cuda:0')"
6,0.0677671899881352,"tensor(0.0925, device='cuda:0')","tensor(0.1049, device='cuda:0')","tensor(1.0437, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.3970, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1823, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.2846, device='cuda:0')","tensor(5.3275, device='cuda:0')","tensor(0.1055, device='cuda:0')"
7,0.06672991235975019,"tensor(0.0896, device='cuda:0')","tensor(0.0775, device='cuda:0')","tensor(0.9339, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.4554, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1777, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0317, device='cuda:0')","tensor(5.1695, device='cuda:0')","tensor(0.1016, device='cuda:0')"
8,0.06096733594403991,"tensor(0.0929, device='cuda:0')","tensor(0.0852, device='cuda:0')","tensor(0.6846, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.1433, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1706, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0304, device='cuda:0')","tensor(5.2184, device='cuda:0')","tensor(0.1063, device='cuda:0')"
9,0.054928042741212595,"tensor(0.0874, device='cuda:0')","tensor(0.1087, device='cuda:0')","tensor(0.5827, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.7609, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1673, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1712, device='cuda:0')","tensor(5.1379, device='cuda:0')","tensor(0.0982, device='cuda:0')"
10,0.04939864792782872,"tensor(0.0864, device='cuda:0')","tensor(0.1799, device='cuda:0')","tensor(0.3885, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.3166, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1605, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.6352, device='cuda:0')","tensor(5.0708, device='cuda:0')","tensor(0.0945, device='cuda:0')"
11,0.051017191892243664,"tensor(0.0821, device='cuda:0')","tensor(0.2223, device='cuda:0')","tensor(0.4118, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.5013, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1580, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4326, device='cuda:0')","tensor(4.9097, device='cuda:0')","tensor(0.1017, device='cuda:0')"
12,0.05139125697314739,"tensor(0.0831, device='cuda:0')","tensor(0.2329, device='cuda:0')","tensor(0.3951, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.5496, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1560, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7134, device='cuda:0')","tensor(4.9262, device='cuda:0')","tensor(0.0999, device='cuda:0')"
13,0.04662877007542704,"tensor(0.0770, device='cuda:0')","tensor(0.1840, device='cuda:0')","tensor(0.3025, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.2549, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1508, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0282, device='cuda:0')","tensor(4.8470, device='cuda:0')","tensor(0.0993, device='cuda:0')"
14,0.04307492941963242,"tensor(0.0815, device='cuda:0')","tensor(0.2341, device='cuda:0')","tensor(0.3240, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.9758, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1575, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0209, device='cuda:0')","tensor(4.9246, device='cuda:0')","tensor(0.0979, device='cuda:0')"
15,0.044735447413002324,"tensor(0.0850, device='cuda:0')","tensor(0.1925, device='cuda:0')","tensor(0.2656, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.0150, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1448, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1896, device='cuda:0')","tensor(5.0999, device='cuda:0')","tensor(0.0894, device='cuda:0')"
16,0.0436421671780091,"tensor(0.0805, device='cuda:0')","tensor(0.2398, device='cuda:0')","tensor(0.3876, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.0412, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1389, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1323, device='cuda:0')","tensor(4.8249, device='cuda:0')","tensor(0.0917, device='cuda:0')"
17,0.04233846779819174,"tensor(0.0871, device='cuda:0')","tensor(0.2522, device='cuda:0')","tensor(0.3049, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.8946, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1364, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9694, device='cuda:0')","tensor(5.1169, device='cuda:0')","tensor(0.0946, device='cuda:0')"
18,0.04036145457731826,"tensor(0.0815, device='cuda:0')","tensor(0.2647, device='cuda:0')","tensor(0.2993, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.8341, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1320, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3278, device='cuda:0')","tensor(4.8663, device='cuda:0')","tensor(0.0948, device='cuda:0')"
