epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
0,0.1783699237782022,"tensor(0.1744, device='cuda:0')","tensor(0.0191, device='cuda:0')","tensor(8.5148, device='cuda:0', grad_fn=<DivBackward0>)","tensor(9.8975, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.2157, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.7604, device='cuda:0')","tensor(10.2765, device='cuda:0')","tensor(0.1680, device='cuda:0')"
1,0.12244494064994481,"tensor(0.1259, device='cuda:0')","tensor(0.0204, device='cuda:0')","tensor(3.7796, device='cuda:0', grad_fn=<DivBackward0>)","tensor(8.0647, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1882, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.9740, device='cuda:0')","tensor(8.6334, device='cuda:0')","tensor(0.1738, device='cuda:0')"
2,0.11221058925856715,"tensor(0.1224, device='cuda:0')","tensor(0.0179, device='cuda:0')","tensor(2.8698, device='cuda:0', grad_fn=<DivBackward0>)","tensor(7.7914, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1906, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4994, device='cuda:0')","tensor(8.3542, device='cuda:0')","tensor(0.1664, device='cuda:0')"
3,0.10848111659288406,"tensor(0.1280, device='cuda:0')","tensor(0.0819, device='cuda:0')","tensor(2.5554, device='cuda:0', grad_fn=<DivBackward0>)","tensor(7.5623, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1689, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1878, device='cuda:0')","tensor(8.7445, device='cuda:0')","tensor(0.1390, device='cuda:0')"
4,0.10152613695548929,"tensor(0.1340, device='cuda:0')","tensor(0.1547, device='cuda:0')","tensor(2.4280, device='cuda:0', grad_fn=<DivBackward0>)","tensor(7.2143, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1684, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4892, device='cuda:0')","tensor(9.1682, device='cuda:0')","tensor(0.1357, device='cuda:0')"
5,0.1073491851920667,"tensor(0.1071, device='cuda:0')","tensor(0.1529, device='cuda:0')","tensor(2.4123, device='cuda:0', grad_fn=<DivBackward0>)","tensor(7.5411, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1637, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7241, device='cuda:0')","tensor(7.7241, device='cuda:0')","tensor(0.1484, device='cuda:0')"
6,0.0966484546661377,"tensor(0.1196, device='cuda:0')","tensor(0.0084, device='cuda:0')","tensor(1.9600, device='cuda:0', grad_fn=<DivBackward0>)","tensor(7.1483, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1728, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1618, device='cuda:0')","tensor(8.2632, device='cuda:0')","tensor(0.1427, device='cuda:0')"
7,0.09115471690893173,"tensor(0.1074, device='cuda:0')","tensor(0.1737, device='cuda:0')","tensor(1.9211, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.9111, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1648, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.3053, device='cuda:0')","tensor(7.7942, device='cuda:0')","tensor(0.1435, device='cuda:0')"
8,0.08657231700161229,"tensor(0.0996, device='cuda:0')","tensor(0.2395, device='cuda:0')","tensor(1.8392, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.6051, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1557, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.2754, device='cuda:0')","tensor(7.3578, device='cuda:0')","tensor(0.1338, device='cuda:0')"
9,0.0799183426019938,"tensor(0.1133, device='cuda:0')","tensor(0.2365, device='cuda:0')","tensor(1.6489, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.3118, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1491, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1500, device='cuda:0')","tensor(8.0860, device='cuda:0')","tensor(0.1308, device='cuda:0')"
10,0.12567848938962686,"tensor(0.1451, device='cuda:0')","tensor(0.1415, device='cuda:0')","tensor(2.9206, device='cuda:0', grad_fn=<DivBackward0>)","tensor(8.3690, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1810, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.7871, device='cuda:0')","tensor(9.4099, device='cuda:0')","tensor(0.1485, device='cuda:0')"
11,0.12098332656466443,"tensor(0.1307, device='cuda:0')","tensor(0.0161, device='cuda:0')","tensor(3.0125, device='cuda:0', grad_fn=<DivBackward0>)","tensor(7.8610, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1738, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4178, device='cuda:0')","tensor(8.5962, device='cuda:0')","tensor(0.1521, device='cuda:0')"
12,0.11831570837808691,"tensor(0.1130, device='cuda:0')","tensor(0.1696, device='cuda:0')","tensor(2.4266, device='cuda:0', grad_fn=<DivBackward0>)","tensor(7.9350, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1761, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7688, device='cuda:0')","tensor(7.9337, device='cuda:0')","tensor(0.1656, device='cuda:0')"
13,0.11126132341830627,"tensor(0.1472, device='cuda:0')","tensor(0.0726, device='cuda:0')","tensor(2.2076, device='cuda:0', grad_fn=<DivBackward0>)","tensor(7.6489, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1712, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.8862, device='cuda:0')","tensor(9.4324, device='cuda:0')","tensor(0.1458, device='cuda:0')"
14,0.10181091466675633,"tensor(0.1227, device='cuda:0')","tensor(0.1281, device='cuda:0')","tensor(2.0656, device='cuda:0', grad_fn=<DivBackward0>)","tensor(7.2508, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1682, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0002, device='cuda:0')","tensor(8.6084, device='cuda:0')","tensor(0.1446, device='cuda:0')"
15,0.09757499202438023,"tensor(0.1303, device='cuda:0')","tensor(0.1270, device='cuda:0')","tensor(1.9716, device='cuda:0', grad_fn=<DivBackward0>)","tensor(7.0745, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1626, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7559, device='cuda:0')","tensor(8.9487, device='cuda:0')","tensor(0.1420, device='cuda:0')"
16,0.09109534647153772,"tensor(0.1229, device='cuda:0')","tensor(0.1557, device='cuda:0')","tensor(1.8017, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.6676, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1589, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9838, device='cuda:0')","tensor(8.5727, device='cuda:0')","tensor(0.1348, device='cuda:0')"
17,0.09156201488297919,"tensor(0.1117, device='cuda:0')","tensor(0.1856, device='cuda:0')","tensor(1.8058, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.7910, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1570, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8338, device='cuda:0')","tensor(8.0054, device='cuda:0')","tensor(0.1470, device='cuda:0')"
18,0.09037292359963707,"tensor(0.1169, device='cuda:0')","tensor(0.2023, device='cuda:0')","tensor(1.6799, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.6319, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1532, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9370, device='cuda:0')","tensor(8.2762, device='cuda:0')","tensor(0.1388, device='cuda:0')"
19,0.09119630896526834,"tensor(0.1272, device='cuda:0')","tensor(0.1371, device='cuda:0')","tensor(1.7915, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.6978, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1546, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.3221, device='cuda:0')","tensor(8.7635, device='cuda:0')","tensor(0.1397, device='cuda:0')"
