epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
0,0.20945110844870596,"tensor(0.1567, device='cuda:0')","tensor(0., device='cuda:0')","tensor(2.8672, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.5426, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1085, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9012, device='cuda:0')","tensor(3.8608, device='cuda:0')","tensor(0.0794, device='cuda:0')"
1,0.1304136269670336,"tensor(0.1201, device='cuda:0')","tensor(0., device='cuda:0')","tensor(1.2549, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.2792, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1041, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6351, device='cuda:0')","tensor(3.4117, device='cuda:0')","tensor(0.0723, device='cuda:0')"
2,0.10572232142939891,"tensor(0.1315, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.8358, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.7769, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1004, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9186, device='cuda:0')","tensor(3.5697, device='cuda:0')","tensor(0.0706, device='cuda:0')"
3,0.09636209677758337,"tensor(0.1204, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.7128, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.6043, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0993, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6825, device='cuda:0')","tensor(3.4379, device='cuda:0')","tensor(0.0676, device='cuda:0')"
4,0.08156811594378582,"tensor(0.1173, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.5919, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.2281, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0969, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6320, device='cuda:0')","tensor(3.4021, device='cuda:0')","tensor(0.0694, device='cuda:0')"
5,0.07325628638375302,"tensor(0.1079, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.4795, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.0023, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0961, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8111, device='cuda:0')","tensor(3.1093, device='cuda:0')","tensor(0.0660, device='cuda:0')"
6,0.06620618664567422,"tensor(0.1108, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.3748, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.7919, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0924, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0029, device='cuda:0')","tensor(3.1794, device='cuda:0')","tensor(0.0629, device='cuda:0')"
7,0.06160905670678654,"tensor(0.1129, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.3817, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.6846, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0886, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8877, device='cuda:0')","tensor(3.2628, device='cuda:0')","tensor(0.0610, device='cuda:0')"
8,0.06044090331445957,"tensor(0.1085, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.3207, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.6507, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0864, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6014, device='cuda:0')","tensor(3.1669, device='cuda:0')","tensor(0.0614, device='cuda:0')"
9,0.05561754583330999,"tensor(0.1119, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.3843, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4588, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0870, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8528, device='cuda:0')","tensor(3.1534, device='cuda:0')","tensor(0.0603, device='cuda:0')"
