epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
0,0.21704064827898276,"tensor(0.1600, device='cuda:0')","tensor(0., device='cuda:0')","tensor(16.0423, device='cuda:0', grad_fn=<DivBackward0>)","tensor(9.5717, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1964, device='cuda:0', grad_fn=<DivBackward0>)","tensor(8.7401, device='cuda:0')","tensor(8.6682, device='cuda:0')","tensor(0.1490, device='cuda:0')"
1,0.14715815918601077,"tensor(0.1284, device='cuda:0')","tensor(0.0189, device='cuda:0')","tensor(6.4439, device='cuda:0', grad_fn=<DivBackward0>)","tensor(8.0388, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1817, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.1847, device='cuda:0')","tensor(7.9172, device='cuda:0')","tensor(0.1679, device='cuda:0')"
2,0.129450268395569,"tensor(0.1119, device='cuda:0')","tensor(0.0120, device='cuda:0')","tensor(4.6268, device='cuda:0', grad_fn=<DivBackward0>)","tensor(7.4912, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1700, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.5067, device='cuda:0')","tensor(7.1510, device='cuda:0')","tensor(0.1508, device='cuda:0')"
3,0.11352225878964299,"tensor(0.1261, device='cuda:0')","tensor(0.0724, device='cuda:0')","tensor(4.1445, device='cuda:0', grad_fn=<DivBackward0>)","tensor(7.0106, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1612, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.5002, device='cuda:0')","tensor(7.9310, device='cuda:0')","tensor(0.1423, device='cuda:0')"
4,0.11154429161030313,"tensor(0.1179, device='cuda:0')","tensor(0.1623, device='cuda:0')","tensor(3.8013, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.8634, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1574, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.6790, device='cuda:0')","tensor(7.6844, device='cuda:0')","tensor(0.1316, device='cuda:0')"
5,0.10501517646986505,"tensor(0.1376, device='cuda:0')","tensor(0.2427, device='cuda:0')","tensor(3.1203, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.6617, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1540, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.8835, device='cuda:0')","tensor(8.3950, device='cuda:0')","tensor(0.1266, device='cuda:0')"
6,0.10574112864940063,"tensor(0.1188, device='cuda:0')","tensor(0.1623, device='cuda:0')","tensor(2.6301, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.6586, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1561, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.6782, device='cuda:0')","tensor(7.7157, device='cuda:0')","tensor(0.1279, device='cuda:0')"
7,0.10226426111615222,"tensor(0.1089, device='cuda:0')","tensor(0.1806, device='cuda:0')","tensor(2.7806, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.5441, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1553, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4112, device='cuda:0')","tensor(7.3148, device='cuda:0')","tensor(0.1492, device='cuda:0')"
8,0.10051783789759097,"tensor(0.1117, device='cuda:0')","tensor(0.2592, device='cuda:0')","tensor(3.2604, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.4667, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1604, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8243, device='cuda:0')","tensor(7.2887, device='cuda:0')","tensor(0.1266, device='cuda:0')"
9,0.09629266611907793,"tensor(0.1377, device='cuda:0')","tensor(0.1698, device='cuda:0')","tensor(2.2397, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.1855, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1492, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1299, device='cuda:0')","tensor(8.4412, device='cuda:0')","tensor(0.1166, device='cuda:0')"
