epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
0,0.11742777590240751,"tensor(0.1228, device='cuda:0')","tensor(0.2112, device='cuda:0')","tensor(2.1881, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.8829, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0938, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.2209, device='cuda:0')","tensor(3.8643, device='cuda:0')","tensor(0.0657, device='cuda:0')"
1,0.08379354505311876,"tensor(0.1131, device='cuda:0')","tensor(0.2286, device='cuda:0')","tensor(0.8775, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.2655, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0689, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7691, device='cuda:0')","tensor(3.8659, device='cuda:0')","tensor(0.0574, device='cuda:0')"
2,0.07738461670657945,"tensor(0.1118, device='cuda:0')","tensor(0.2134, device='cuda:0')","tensor(0.6133, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.0726, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0625, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7195, device='cuda:0')","tensor(3.8347, device='cuda:0')","tensor(0.0553, device='cuda:0')"
3,0.07388720673228068,"tensor(0.1141, device='cuda:0')","tensor(0.2675, device='cuda:0')","tensor(0.6973, device='cuda:0', grad_fn=<DivBackward0>)","tensor(3.0047, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0605, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7557, device='cuda:0')","tensor(3.6752, device='cuda:0')","tensor(0.0505, device='cuda:0')"
4,0.06801258074858832,"tensor(0.0993, device='cuda:0')","tensor(0.2973, device='cuda:0')","tensor(0.4791, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.8459, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0585, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6661, device='cuda:0')","tensor(3.5239, device='cuda:0')","tensor(0.0493, device='cuda:0')"
5,0.07073113014773717,"tensor(0.1025, device='cuda:0')","tensor(0.2982, device='cuda:0')","tensor(0.4892, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.9019, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0546, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8047, device='cuda:0')","tensor(3.4844, device='cuda:0')","tensor(0.0500, device='cuda:0')"
6,0.0667958530405211,"tensor(0.1016, device='cuda:0')","tensor(0.3489, device='cuda:0')","tensor(0.3896, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.8165, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0543, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6134, device='cuda:0')","tensor(3.6356, device='cuda:0')","tensor(0.0491, device='cuda:0')"
7,0.06466269788760988,"tensor(0.1013, device='cuda:0')","tensor(0.3004, device='cuda:0')","tensor(0.4428, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.7257, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0528, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7065, device='cuda:0')","tensor(3.6041, device='cuda:0')","tensor(0.0496, device='cuda:0')"
8,0.06210804097945728,"tensor(0.0994, device='cuda:0')","tensor(0.3815, device='cuda:0')","tensor(0.3294, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.6233, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0518, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6570, device='cuda:0')","tensor(3.6723, device='cuda:0')","tensor(0.0475, device='cuda:0')"
9,0.06184202950033876,"tensor(0.0977, device='cuda:0')","tensor(0.3394, device='cuda:0')","tensor(0.2287, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.6688, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0509, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5794, device='cuda:0')","tensor(3.4633, device='cuda:0')","tensor(0.0484, device='cuda:0')"
10,0.06657129809969947,"tensor(0.1035, device='cuda:0')","tensor(0.4084, device='cuda:0')","tensor(0.4324, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.8130, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0530, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7313, device='cuda:0')","tensor(3.7593, device='cuda:0')","tensor(0.0454, device='cuda:0')"
11,0.06227041367027494,"tensor(0.1108, device='cuda:0')","tensor(0.3432, device='cuda:0')","tensor(0.4076, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.6836, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0521, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.4738, device='cuda:0')","tensor(4.0055, device='cuda:0')","tensor(0.0466, device='cuda:0')"
12,0.06333433298601045,"tensor(0.1097, device='cuda:0')","tensor(0.3956, device='cuda:0')","tensor(0.3017, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.6647, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0492, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5345, device='cuda:0')","tensor(3.6623, device='cuda:0')","tensor(0.0456, device='cuda:0')"
13,0.058146133309318906,"tensor(0.1079, device='cuda:0')","tensor(0.3441, device='cuda:0')","tensor(0.2229, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.5937, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0507, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7397, device='cuda:0')","tensor(3.7546, device='cuda:0')","tensor(0.0461, device='cuda:0')"
14,0.05551404423183865,"tensor(0.1055, device='cuda:0')","tensor(0.3558, device='cuda:0')","tensor(0.3119, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4919, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0509, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5642, device='cuda:0')","tensor(3.7369, device='cuda:0')","tensor(0.0425, device='cuda:0')"
15,0.05568535167664763,"tensor(0.0979, device='cuda:0')","tensor(0.3745, device='cuda:0')","tensor(0.2938, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4594, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0466, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6001, device='cuda:0')","tensor(3.6606, device='cuda:0')","tensor(0.0413, device='cuda:0')"
16,0.05191443801399261,"tensor(0.0975, device='cuda:0')","tensor(0.3894, device='cuda:0')","tensor(0.2262, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.3446, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0455, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5424, device='cuda:0')","tensor(3.4856, device='cuda:0')","tensor(0.0424, device='cuda:0')"
17,0.0538147378062445,"tensor(0.1006, device='cuda:0')","tensor(0.3955, device='cuda:0')","tensor(0.2499, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4084, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0440, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8025, device='cuda:0')","tensor(3.4447, device='cuda:0')","tensor(0.0424, device='cuda:0')"
18,0.05284655244932288,"tensor(0.1021, device='cuda:0')","tensor(0.3808, device='cuda:0')","tensor(0.1490, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.3819, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0436, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7675, device='cuda:0')","tensor(3.7326, device='cuda:0')","tensor(0.0420, device='cuda:0')"
19,0.052632503507156224,"tensor(0.0982, device='cuda:0')","tensor(0.3863, device='cuda:0')","tensor(0.2004, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.3423, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0437, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5437, device='cuda:0')","tensor(3.6103, device='cuda:0')","tensor(0.0418, device='cuda:0')"
20,0.04955512959332693,"tensor(0.0987, device='cuda:0')","tensor(0.3890, device='cuda:0')","tensor(0.1581, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.2721, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0423, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6893, device='cuda:0')","tensor(3.5205, device='cuda:0')","tensor(0.0393, device='cuda:0')"
21,0.04843336615770582,"tensor(0.0987, device='cuda:0')","tensor(0.3253, device='cuda:0')","tensor(0.3062, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.2285, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0439, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6815, device='cuda:0')","tensor(3.6479, device='cuda:0')","tensor(0.0441, device='cuda:0')"
22,0.04769576852402044,"tensor(0.0955, device='cuda:0')","tensor(0.3722, device='cuda:0')","tensor(0.1760, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1632, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0433, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5141, device='cuda:0')","tensor(3.4767, device='cuda:0')","tensor(0.0405, device='cuda:0')"
